StorageEvent: 2025/02/04 16:51:00 Timestamp: 2025-02-04T16:51:00+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:51:27 Timestamp: 2025-02-04T16:51:27+05:30, URL: http://msn.com//dyna/200/256/120/0/Europe, Operation: read, ResponseTime: 4ms, Bytes: 0
StorageEvent: 2025/02/04 16:51:27 Timestamp: 2025-02-04T16:51:27+05:30, URL: http://msn.com//dyna/200/256/120/0/Europe, Operation: write, ResponseTime: 43ms, Bytes: 256
StorageEvent: 2025/02/04 16:51:32 Timestamp: 2025-02-04T16:51:32+05:30, DiskUsage: 67, TotalContents: 2
StorageEvent: 2025/02/04 16:52:04 Timestamp: 2025-02-04T16:52:04+05:30, DiskUsage: 67, TotalContents: 2
StorageEvent: 2025/02/04 16:52:36 Timestamp: 2025-02-04T16:52:36+05:30, DiskUsage: 67, TotalContents: 2
StorageEvent: 2025/02/04 16:53:08 Timestamp: 2025-02-04T16:53:08+05:30, DiskUsage: 67, TotalContents: 2
StorageEvent: 2025/02/04 16:53:31 Timestamp: 2025-02-04T16:53:31+05:30, URL: http://msn.com//dyna/200/256/120/0/Europe, Operation: read, ResponseTime: 7ms, Bytes: 256
StorageEvent: 2025/02/04 16:53:31 Timestamp: 2025-02-04T16:53:31+05:30, URL: http://msn.com//dyna/200/256/120/0/Europe, Operation: write, ResponseTime: 20ms, Bytes: 256
StorageEvent: 2025/02/04 16:53:40 Timestamp: 2025-02-04T16:53:40+05:30, DiskUsage: 67, TotalContents: 3
StorageEvent: 2025/02/04 16:54:12 Timestamp: 2025-02-04T16:54:12+05:30, DiskUsage: 67, TotalContents: 3
StorageEvent: 2025/02/04 16:54:44 Timestamp: 2025-02-04T16:54:44+05:30, DiskUsage: 67, TotalContents: 3
StorageEvent: 2025/02/04 16:55:16 Timestamp: 2025-02-04T16:55:16+05:30, DiskUsage: 67, TotalContents: 3
StorageEvent: 2025/02/04 16:55:47 Timestamp: 2025-02-04T16:55:47+05:30, DiskUsage: 67, TotalContents: 3
StorageEvent: 2025/02/04 16:56:19 Timestamp: 2025-02-04T16:56:19+05:30, DiskUsage: 67, TotalContents: 3
StorageEvent: 2025/02/04 16:56:51 Timestamp: 2025-02-04T16:56:51+05:30, DiskUsage: 67, TotalContents: 3
StorageEvent: 2025/02/04 16:57:23 Timestamp: 2025-02-04T16:57:23+05:30, DiskUsage: 67, TotalContents: 3
StorageEvent: 2025/02/04 16:57:55 Timestamp: 2025-02-04T16:57:55+05:30, DiskUsage: 67, TotalContents: 3
StorageEvent: 2025/02/04 16:58:27 Timestamp: 2025-02-04T16:58:27+05:30, DiskUsage: 67, TotalContents: 3
StorageEvent: 2025/02/04 16:58:59 Timestamp: 2025-02-04T16:58:59+05:30, DiskUsage: 67, TotalContents: 3
StorageEvent: 2025/02/04 16:59:31 Timestamp: 2025-02-04T16:59:31+05:30, DiskUsage: 67, TotalContents: 3
StorageEvent: 2025/02/04 17:00:03 Timestamp: 2025-02-04T17:00:03+05:30, DiskUsage: 67, TotalContents: 3
StorageEvent: 2025/02/04 17:00:35 Timestamp: 2025-02-04T17:00:35+05:30, DiskUsage: 67, TotalContents: 3
StorageEvent: 2025/02/04 17:01:07 Timestamp: 2025-02-04T17:01:07+05:30, DiskUsage: 67, TotalContents: 3
StorageEvent: 2025/02/04 17:01:38 Timestamp: 2025-02-04T17:01:38+05:30, DiskUsage: 67, TotalContents: 3
StorageEvent: 2025/02/04 17:02:10 Timestamp: 2025-02-04T17:02:10+05:30, DiskUsage: 67, TotalContents: 3
StorageEvent: 2025/02/04 17:02:42 Timestamp: 2025-02-04T17:02:42+05:30, DiskUsage: 67, TotalContents: 3
StorageEvent: 2025/02/04 17:03:09 Timestamp: 2025-02-04T17:03:09+05:30, URL: http://msn.com//dyna/200/256/1200/0/Europe, Operation: read, ResponseTime: 7ms, Bytes: 0
StorageEvent: 2025/02/04 17:03:09 Timestamp: 2025-02-04T17:03:09+05:30, URL: http://msn.com//dyna/200/256/1200/0/Europe, Operation: write, ResponseTime: 28ms, Bytes: 256
StorageEvent: 2025/02/04 17:03:13 Timestamp: 2025-02-04T17:03:13+05:30, DiskUsage: 67, TotalContents: 4
StorageEvent: 2025/02/04 17:03:45 Timestamp: 2025-02-04T17:03:45+05:30, DiskUsage: 67, TotalContents: 4
StorageEvent: 2025/02/04 17:04:16 Timestamp: 2025-02-04T17:04:16+05:30, DiskUsage: 67, TotalContents: 4
StorageEvent: 2025/02/04 17:04:48 Timestamp: 2025-02-04T17:04:48+05:30, DiskUsage: 67, TotalContents: 4
StorageEvent: 2025/02/04 17:05:20 Timestamp: 2025-02-04T17:05:20+05:30, DiskUsage: 67, TotalContents: 4
StorageEvent: 2025/02/04 17:05:51 Timestamp: 2025-02-04T17:05:51+05:30, DiskUsage: 67, TotalContents: 4
StorageEvent: 2025/02/04 17:06:23 Timestamp: 2025-02-04T17:06:23+05:30, DiskUsage: 67, TotalContents: 4
StorageEvent: 2025/02/04 17:06:55 Timestamp: 2025-02-04T17:06:55+05:30, DiskUsage: 67, TotalContents: 4
StorageEvent: 2025/02/04 17:07:26 Timestamp: 2025-02-04T17:07:26+05:30, DiskUsage: 67, TotalContents: 4
StorageEvent: 2025/02/04 17:07:58 Timestamp: 2025-02-04T17:07:58+05:30, DiskUsage: 67, TotalContents: 4
StorageEvent: 2025/02/04 17:08:30 Timestamp: 2025-02-04T17:08:30+05:30, DiskUsage: 67, TotalContents: 4
StorageEvent: 2025/02/04 17:09:02 Timestamp: 2025-02-04T17:09:02+05:30, DiskUsage: 67, TotalContents: 4
StorageEvent: 2025/02/04 17:09:33 Timestamp: 2025-02-04T17:09:33+05:30, DiskUsage: 67, TotalContents: 4
StorageEvent: 2025/02/04 17:10:05 Timestamp: 2025-02-04T17:10:05+05:30, DiskUsage: 67, TotalContents: 4
StorageEvent: 2025/02/04 17:10:37 Timestamp: 2025-02-04T17:10:37+05:30, DiskUsage: 67, TotalContents: 4
StorageEvent: 2025/02/04 17:11:09 Timestamp: 2025-02-04T17:11:09+05:30, DiskUsage: 67, TotalContents: 4
StorageEvent: 2025/02/04 17:11:41 Timestamp: 2025-02-04T17:11:41+05:30, DiskUsage: 67, TotalContents: 4
StorageEvent: 2025/02/04 17:12:13 Timestamp: 2025-02-04T17:12:13+05:30, DiskUsage: 67, TotalContents: 4
StorageEvent: 2025/02/04 17:12:45 Timestamp: 2025-02-04T17:12:45+05:30, DiskUsage: 67, TotalContents: 4
StorageEvent: 2025/02/04 17:13:16 Timestamp: 2025-02-04T17:13:16+05:30, DiskUsage: 67, TotalContents: 4
