StorageDiskMetricsEvent: 2025/02/05 15:59:27 Timestamp: 2025-02-05T15:59:27+05:30, DiskUsage: 67, TotalContents: 3
StorageDiskMetricsEvent: 2025/02/05 15:59:59 Timestamp: 2025-02-05T15:59:59+05:30, DiskUsage: 67, TotalContents: 3
StorageDiskMetricsEvent: 2025/02/05 16:00:31 Timestamp: 2025-02-05T16:00:31+05:30, DiskUsage: 67, TotalContents: 3
StorageDiskMetricsEvent: 2025/02/05 16:01:03 Timestamp: 2025-02-05T16:01:03+05:30, DiskUsage: 67, TotalContents: 3
StorageDiskMetricsEvent: 2025/02/05 16:01:35 Timestamp: 2025-02-05T16:01:35+05:30, DiskUsage: 67, TotalContents: 3
StorageDiskMetricsEvent: 2025/02/05 16:02:07 Timestamp: 2025-02-05T16:02:07+05:30, DiskUsage: 67, TotalContents: 3
StorageDiskMetricsEvent: 2025/02/05 16:02:39 Timestamp: 2025-02-05T16:02:39+05:30, DiskUsage: 67, TotalContents: 3
StorageDiskMetricsEvent: 2025/02/05 16:03:10 Timestamp: 2025-02-05T16:03:10+05:30, DiskUsage: 67, TotalContents: 3
StorageDiskMetricsEvent: 2025/02/05 16:03:43 Timestamp: 2025-02-05T16:03:43+05:30, DiskUsage: 67, TotalContents: 3
StorageDiskMetricsEvent: 2025/02/05 16:04:15 Timestamp: 2025-02-05T16:04:15+05:30, DiskUsage: 67, TotalContents: 1
StorageDiskMetricsEvent: 2025/02/05 16:04:47 Timestamp: 2025-02-05T16:04:47+05:30, DiskUsage: 67, TotalContents: 1
StorageDiskMetricsEvent: 2025/02/05 16:05:19 Timestamp: 2025-02-05T16:05:19+05:30, DiskUsage: 67, TotalContents: 1
StorageDiskMetricsEvent: 2025/02/05 16:05:51 Timestamp: 2025-02-05T16:05:51+05:30, DiskUsage: 67, TotalContents: 1
StorageDiskMetricsEvent: 2025/02/05 16:06:23 Timestamp: 2025-02-05T16:06:23+05:30, DiskUsage: 67, TotalContents: 1
StorageDiskMetricsEvent: 2025/02/05 16:06:55 Timestamp: 2025-02-05T16:06:55+05:30, DiskUsage: 67, TotalContents: 1
StorageDiskMetricsEvent: 2025/02/05 16:07:26 Timestamp: 2025-02-05T16:07:26+05:30, DiskUsage: 67, TotalContents: 1
StorageDiskMetricsEvent: 2025/02/05 16:07:58 Timestamp: 2025-02-05T16:07:58+05:30, DiskUsage: 67, TotalContents: 1
StorageDiskMetricsEvent: 2025/02/05 16:08:30 Timestamp: 2025-02-05T16:08:30+05:30, DiskUsage: 67, TotalContents: 1
